,company name,position,worktime,City
86,Doğuş İnşaat ve Ticaret A.Ş.,Bilgi Teknolojileri Uzmanı (Ankara),Tam zamanlı,Ankara
87,Doğuş İnşaat ve Ticaret A.Ş.,Proje Maliyet Kontrol Şefi (Ankara),Tam zamanlı,Ankara
88,Şişecam,Çevre Mühendisi,Tam zamanlı,Mersin
89,Elkon Elevatör Konveyör Mak.San. ve Tic. A.Ş.,Elektrik Elektronik Mühendisi,Tam zamanlı,Tekirdağ
90,HACIBABA PASTANELERİ GIDA SANAYİ VE TİCARET LTD. ŞT,Muhasebe Uzmanı,Tam zamanlı,İstanbul(Avr.)
91,Doğuş Perakende Satış Giyim ve Aksesuar Tic. A.Ş,D Saat - Mağaza Müdürü,Tam zamanlı,İstanbul(Avr.)
92,Zeplin Turizm Taşımacılık Yatırım Ltd. Şti.,Ofis Elemanı,Tam zamanlı,İzmir
93,CEVA Lojistik,Nakliye Tedarik Sorumlusu,Tam zamanlı,İzmir
94,Zeplin Turizm Taşımacılık Yatırım Ltd. Şti.,Hukuk Asistanı,Tam zamanlı,İstanbul (Tümü)
95,Sektöründe Öncü Firma,Silahlı Güvenlik Görevlisi,Tam zamanlı,İstanbul(Asya)
96,Doğuş Perakende Satış Giyim ve Aksesuar Tic. A.Ş,Kiko Milano Espark - Pt Güzellik Danışmanı,Tam zamanlı,Eskişehir
97,Şişecam,Vergi İşlemleri Yetkilisi,Tam zamanlı,İstanbul(Asya)
98,Şişecam,İşletme Mühendisi,Tam zamanlı,Tekirdağ +1 il daha
99,Şişecam,Mekatronik Teknisyeni,Tam zamanlı,Tekirdağ +1 il daha
100,Tergan Deri Ürünleri,Satış Danışmanı - Mall Of İstanbul Avm,Tam zamanlı,İstanbul (Tümü)
101,Zeplin Turizm Taşımacılık Yatırım Ltd. Şti.,Satış Pazarlama Portföy Yöneticisi,Tam zamanlı,"İstanbul(Asya),  İzmir"
102,Doğuş Otomotiv,Yedek Parça Depo Dağıtım Operasyonları Yöneticisi,Tam zamanlı,Kocaeli
103,Şişecam,Mekanik Bakım Onarım Mühendisi,Tam zamanlı,Eskişehir
104,ABB Elektrik Sanayi A.Ş.,HR Business Partner,Tam zamanlı,İstanbul (Tümü)
105,ABB Elektrik Sanayi A.Ş.,Financial Analyst,Tam zamanlı,İstanbul (Tümü)
106,Alshaya Saha,The Body Shop Satış Danışmanı / Akbatı Avm,Tam zamanlı,İstanbul(Avr.)
107,Tam Finans Faktoring A.Ş.,Dinamik Beylikdüzü Şube-Müşteri Temsilcisi,Tam zamanlı,İstanbul(Avr.)
108,Open English,Müşteri Temsilcisi,Tam zamanlı,İstanbul(Asya)
109,Pratik Aday Servisi,Proses Otomasyon Mühendisi,Tam zamanlı,İstanbul(Asya)
110,GKN SİNTER İSTANBUL METAL SAN.VE TİC.A.Ş.,Team Lead Quality Operations,Tam zamanlı,İstanbul(Avr.)
111,Dinamo Fuar Hizmetleri,Fuar Satış Uzmanı,Tam zamanlı,İstanbul(Avr.)
112,GKN SİNTER İSTANBUL METAL SAN.VE TİC.A.Ş.,Product Engineer,Tam zamanlı,İstanbul(Avr.)
113,VOLT ELEKTRİK MOTOR SAN. VE TİC. A.Ş.(KEMALPAŞA),Planlama Yöneticisi,Tam zamanlı,İzmir
114,Tek Çelik İç ve Dış Tic. İnş. San. A.ş,Makine Mühendisi,Tam zamanlı,İzmir
115,The Gym A Plus,Resepsiyonist,Tam zamanlı,İstanbul(Avr.)
116,Altınyıldız Classics-Beymen Business,Bilgi İşlem Uzman Yardımcısı,Tam zamanlı,İzmir
117,BMC OTOMOTİV SANAYİ VE TİCARET A.Ş.,İdari İşler Uzmanı,Tam zamanlı,İzmir
118,Gizli Firma,Puantör,Tam zamanlı,İstanbul (Tümü)
119,Bakırlar Yapı Malzemeleri İnşaat ve Ticaret Ltd.,Danışma Görevlisi,Tam zamanlı,İstanbul(Asya)
120,Gizli Firma,Kalite Sorumlusu,Tam zamanlı,İstanbul(Avr.)
121,Mengerler Ticaret Türk A.Ş. izmir Şubesi Egemer,Servis Kabul Danışmanı,Tam zamanlı,İzmir
122,BKM MUTFAK YAPIM VEYAYINCILIK ORGANİZASYON ANONİM ŞİRKETİ,Barmen / Barmaid,Tam zamanlı,İstanbul(Asya)
123,AERDIESEL OTOMOTİV YEDEK PARÇA SANAYİ VE TİCARET L,Arge Destek Mühendisi,Tam zamanlı,Konya
124,ebebek,Takım Lideri / Cevahir Avm,Tam zamanlı,İstanbul(Avr.)
125,ebebek,Bebekolog/Part Satış Danışmanı - Maslak,Part Time,İstanbul(Avr.)
126,Medident İstanbul,Çağrı Merkezi Müşteri Temsilcisi,Tam zamanlı,İstanbul (Tümü)
127,ELKON ELEVATÖR KONVEYÖR VE MAKİNA SAN.VE TİC.A.Ş.,Özel Güvenlik Elemanı,Tam zamanlı,Tekirdağ
128,DRONSAN SAVUNMA HAVACILIK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Mağaza Satış Danışmanı,Tam zamanlı,Ankara
129,MEDİLİFE BAĞCILAR HASTANESİ,Ebe (Bağcılar),Tam zamanlı,İstanbul(Avr.)
130,ebebek,Bebekolog/Satış Danışmanı - Anadolu Yakası,Tam zamanlı,İstanbul(Asya)
131,Safa Tarım A.Ş.,Urfa Bölge Satış Temsilcisi,Tam zamanlı,Şanlıurfa
132,Gizli Firma,Makam Şoförü,Tam zamanlı,İstanbul(Avr.)
133,BARTEK ELEKTRİK SİSTEMLERİ SAN. VE TİC. AŞ.,Proje Mühendisi,Tam zamanlı,İstanbul(Asya)
134,WARPIRIS BİLİŞİM TEKNOLOJİLERİ ANONİM ŞİRKETİ,PHP Developer,Tam zamanlı,"İstanbul(Avr.),  Ankara"
135,Simurgh Gayrimenkul,Arama Motoru Optimizasyonu (Seo) Uzmanı,Tam zamanlı,Antalya
136,CALL LINE ANTALYA ÇAĞRI MERKEZİ TİCARET LİMİTED ŞİRKETİ,( Flemenkçe ) Çağrı Merkezi Müşteri Temsilcisi,Tam zamanlı,Antalya
137,Gizli Firma,Executive Chef,Tam zamanlı,Kırklareli
138,Dinamo Fuar Hizmetleri,Fuar Satış Uzmanı,Tam zamanlı,İstanbul(Avr.)
139,Elkon Elevatör Konveyör Mak.San. ve Tic. A.Ş.,Elektrik Elektronik Mühendisi,Tam zamanlı,Tekirdağ
140,NETSPEED İNTERNET ANONİM ŞİRKETİ,Çağrı Merkezi Müşteri Temsilcisi,Tam zamanlı,Denizli
141,Gizli Firma,Satış Uzmanı (Sakarya),Tam zamanlı,Sakarya
142,VOLT ELEKTRİK MOTOR SAN. VE TİC. A.Ş.(KEMALPAŞA),Planlama Yöneticisi,Tam zamanlı,İzmir
143,GKN SİNTER İSTANBUL METAL SAN.VE TİC.A.Ş.,Team Lead Quality Operations,Tam zamanlı,İstanbul(Avr.)
144,Sigorta Bilgi ve Gözetim Merkezi,Siber Dayanıklılık Uzmanı / Kıdemli Uzmanı,Tam zamanlı,İstanbul(Asya)
145,GKN SİNTER İSTANBUL METAL SAN.VE TİC.A.Ş.,Product Engineer,Tam zamanlı,İstanbul(Avr.)
146,Erdem Sağlık Grubu,Hemşire/Hemşire Yardımcısı,Tam zamanlı,İstanbul(Asya)
147,GAPEL OTOMOTİV SAN.VE TİC.LTD.ŞTİ.,Müşteri İlişkileri Sorumlusu,Tam zamanlı,Şanlıurfa
148,CMC REFRIGERATION İKLİMLENDİRME İMALAT İHRACAT İTHALAT SAN.TİC.LTD.ŞTİ.,İnsan Kaynakları Uzmanı,Tam zamanlı,Sivas
149,Soho House Istanbul,Elektrik Teknisyeni,Tam zamanlı,İstanbul(Avr.)
150,Nidaş Mad.Taş.Makina İth.İhr.Kimya San.Tic.A.Ş,Ön Muhasebe Personeli,Tam zamanlı,Niğde
151,YAZAKİ OTOMOTİV YAN SANAYİ VE TİCARET A.Ş.,Endüstri Mühendisi,Tam zamanlı,Sakarya
152,SANTA FARMA İLAÇ SAN.A.Ş.,AR-GE Farmasötik Teknoloji Geliştirme Yöneticisi,Tam zamanlı,Kocaeli
153,Perfetti Van Melle,Quality Control Engineer,Tam zamanlı,İstanbul(Avr.)
154,LEGRAND ELEKTRİK SANAYİ A.Ş.,Plastik Üretim Mühendisi,Tam zamanlı,Kocaeli
155,ŞEKERBANK T. A.Ş.,Ticari-Kobi-İşletme Bankacılığı Satış Temsilcisi,Tam zamanlı,İstanbul (Tümü)
156,ÇİMBETON HAZIRBETON VE PREFABRİK YAPI ELEMANLARI SANAYİ VE TİCARET A.Ş.,Hazır Beton Elektrik Bakım Teknisyeni,Tam zamanlı,İstanbul (Tümü) +3 il daha
157,ENKAL FİLO ARAÇ KİRALAMA HİZMETLERİ ANONİM ŞİRKETİ,Motosiklet Satış Danışmanı,Tam zamanlı,İstanbul(Asya)
158,Sektöründe Lider Firma,Tedarik Planlama Uzmanı,Tam zamanlı,İstanbul(Asya)
159,BURAKCAN KALIP SANAYİ TİC.LTD.ŞTİ.,Dış Ticaret Uzmanı,Tam zamanlı,İstanbul(Avr.)
160,SERKAN İLETİŞİM TÜRK TELEKOM MAĞAZALARI,Bayi Satış Yetkilisi,Tam zamanlı,Konya
161,DORUK SAĞLIK GRUBU,Özel Doruk Nilüfer Hastanesi Restorant Elemanı,Tam zamanlı,Bursa
162,Kadriye Baştürk,Ön Muhasebe Görevlisi,Tam zamanlı,İstanbul(Asya)
163,Scoopas,Almanca Bilen Müşteri Temsilcisi - Deutsch,Tam zamanlı,İstanbul (Tümü)
164,GKN SİNTER İSTANBUL METAL SAN.VE TİC.A.Ş.,Team Lead Quality Operations,Tam zamanlı,İstanbul(Avr.)
165,Dinamo Fuar Hizmetleri,Fuar Satış Uzmanı,Tam zamanlı,İstanbul(Avr.)
166,GKN SİNTER İSTANBUL METAL SAN.VE TİC.A.Ş.,Product Engineer,Tam zamanlı,İstanbul(Avr.)
167,VOLT ELEKTRİK MOTOR SAN. VE TİC. A.Ş.(KEMALPAŞA),Planlama Yöneticisi,Tam zamanlı,İzmir
168,Tek Çelik İç ve Dış Tic. İnş. San. A.ş,Makine Mühendisi,Tam zamanlı,İzmir
169,The Gym A Plus,Resepsiyonist,Tam zamanlı,İstanbul(Avr.)
170,Altınyıldız Classics-Beymen Business,Bilgi İşlem Uzman Yardımcısı,Tam zamanlı,İzmir
171,BMC OTOMOTİV SANAYİ VE TİCARET A.Ş.,İdari İşler Uzmanı,Tam zamanlı,İzmir
172,Gizli Firma,Puantör,Tam zamanlı,İstanbul (Tümü)
173,Bakırlar Yapı Malzemeleri İnşaat ve Ticaret Ltd.,Danışma Görevlisi,Tam zamanlı,İstanbul(Asya)
174,Gizli Firma,Kalite Sorumlusu,Tam zamanlı,İstanbul(Avr.)
175,Mengerler Ticaret Türk A.Ş. izmir Şubesi Egemer,Servis Kabul Danışmanı,Tam zamanlı,İzmir
176,BKM MUTFAK YAPIM VEYAYINCILIK ORGANİZASYON ANONİM ŞİRKETİ,Barmen / Barmaid,Tam zamanlı,İstanbul(Asya)
177,AERDIESEL OTOMOTİV YEDEK PARÇA SANAYİ VE TİCARET L,Arge Destek Mühendisi,Tam zamanlı,Konya
178,ebebek,Takım Lideri / Cevahir Avm,Tam zamanlı,İstanbul(Avr.)
179,ebebek,Bebekolog/Part Satış Danışmanı - Maslak,Part Time,İstanbul(Avr.)
180,Medident İstanbul,Çağrı Merkezi Müşteri Temsilcisi,Tam zamanlı,İstanbul (Tümü)
181,ELKON ELEVATÖR KONVEYÖR VE MAKİNA SAN.VE TİC.A.Ş.,Özel Güvenlik Elemanı,Tam zamanlı,Tekirdağ
182,DRONSAN SAVUNMA HAVACILIK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Mağaza Satış Danışmanı,Tam zamanlı,Ankara
183,MEDİLİFE BAĞCILAR HASTANESİ,Ebe (Bağcılar),Tam zamanlı,İstanbul(Avr.)
184,ebebek,Bebekolog/Satış Danışmanı - Anadolu Yakası,Tam zamanlı,İstanbul(Asya)
185,Safa Tarım A.Ş.,Urfa Bölge Satış Temsilcisi,Tam zamanlı,Şanlıurfa
186,Gizli Firma,Makam Şoförü,Tam zamanlı,İstanbul(Avr.)
187,BARTEK ELEKTRİK SİSTEMLERİ SAN. VE TİC. AŞ.,Proje Mühendisi,Tam zamanlı,İstanbul(Asya)
188,WARPIRIS BİLİŞİM TEKNOLOJİLERİ ANONİM ŞİRKETİ,PHP Developer,Tam zamanlı,"İstanbul(Avr.),  Ankara"
189,Pratik Aday Servisi,Proses Otomasyon Mühendisi,Tam zamanlı,İstanbul(Asya)
190,Mehmet Şevki Kaya Yeminli Mali Müşavirliği,Denetçi Yardımcısı (Yeni Mezun),Tam zamanlı,İstanbul(Avr.)
191,Bilgin Enerji Yatırım Holding A.Ş.,Rüzgar Santrali İşletme Teknisyeni,Tam zamanlı,İzmir +1 il daha
192,TEB - Türk Ekonomi Bankası,İstanbul Kurumsal-Kurumsal Müşteri İliş.Yöneticisi,Tam zamanlı,İstanbul(Avr.)
193,Mondelez International,Category Finance Analyst,Tam zamanlı,İstanbul (Tümü)
194,Doğuş İnşaat ve Ticaret A.Ş.,Bilgi Teknolojileri Uzmanı (Ankara),Tam zamanlı,Ankara
195,Arsan Şirketler Grubu,İnsan Kaynakları Sorumlusu,Tam zamanlı,İstanbul(Asya)
196,Doğuş İnşaat ve Ticaret A.Ş.,Proje Maliyet Kontrol Şefi (Ankara),Tam zamanlı,Ankara
197,Şişecam,Çevre Mühendisi,Tam zamanlı,Mersin
198,Türk Ekonomi Bankası A.Ş.,Burdur Şubesi Bireysel Müşteri İlişkileri Yönt,Tam zamanlı,Burdur
199,Coca-Cola İçecek ŞİMŞEK GIDA,Satış Temsilcisi,Tam zamanlı,Antalya
200,Anadolu Efes,Bölge Satış Raporlama Uzmanı(İzmir),Tam zamanlı,Türkiye
201,Türk Ekonomi Bankası A.Ş.,Zonguldak Kitle Bankacılığı Mobil Satış Temsilcisi,Tam zamanlı,Zonguldak
202,TEB - Türk Ekonomi Bankası,Teb Arval :Muhasebe Yönetici Yardımcısı/Yöneticisi,Tam zamanlı,İstanbul(Avr.)
203,Manpower,Portföy Yöneticisi,Tam zamanlı,İstanbul(Avr.)
204,Manpower,Mağaza Satış Danışmanı,Tam zamanlı,İstanbul(Avr.)
205,Mondelez International,Product Change Manager,Tam zamanlı,Kocaeli
206,Manpower,Mağaza Sorumlusu,Tam zamanlı,İstanbul(Avr.)
207,Türk Ekonomi Bankası A.Ş.,Avrupa 1 Bölgesi Müşteri Hizmetleri Yetkilisi,Tam zamanlı,İstanbul(Avr.)
208,Nurol Holding A.Ş.,Sistem Destek Uzman Yardımcısı,Tam zamanlı,"İstanbul(Avr.),  Ankara"
209,HR LEGAL İNSAN KAYNAKLARI DANIŞMANLIK A.Ş,Adliye Takip Elemanı,Tam zamanlı,Muğla
210,Gediz Elektrik Perakende Satış A.Ş.,İç Kontrol Uzman Yardımcısı,Tam zamanlı,İzmir
211,Siemens,Senior Full Stack Software Developer - Cloud/Edge,Tam zamanlı,İstanbul(Avr.)
212,Siemens,Motor & Generator Service Engineer,Tam zamanlı,Kocaeli
213,TURKISHBANK A.Ş,Masak Uyum Görevlisi (Yönetmen/Yönetici),Tam zamanlı,İstanbul(Avr.)
214,Aydın Aydın Avukatlık Ortaklığı,Ticaret ve Şirketler Hukuku Avukatı,Tam zamanlı,İstanbul(Asya)
215,BNP PARIBAS CARDIF,İş Ortaklıkları Operasyon Yetkilisi (Üretim),Tam zamanlı,İstanbul(Avr.)
216,KOBASTAR ELEKTRONİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,İnternational Sales Representative,Tam zamanlı,Konya
217,DETA-GEN GENETİK HASTALIKLAR TANI MERKEZİ,Mikrobiyoloji Uzmanı,Tam zamanlı,Kayseri
218,Bilgin Enerji Yatırım Holding A.Ş.,Rüzgar Santrali İşletme Teknisyeni,Tam zamanlı,İzmir +1 il daha
219,TEB - Türk Ekonomi Bankası,İstanbul Kurumsal-Kurumsal Müşteri İliş.Yöneticisi,Tam zamanlı,İstanbul(Avr.)
220,Mondelez International,Category Finance Analyst,Tam zamanlı,İstanbul (Tümü)
221,Doğuş İnşaat ve Ticaret A.Ş.,Bilgi Teknolojileri Uzmanı (Ankara),Tam zamanlı,Ankara
222,Arsan Şirketler Grubu,İnsan Kaynakları Sorumlusu,Tam zamanlı,İstanbul(Asya)
